Train Dataset,Test Dataset,MLPBaseLineClassifier,BOWBaseLineClassifier,KerasDenseClassifier,KerasDenseClassifierWithEmbedding,KerasDenseClassifierWithExternalEmbedding,KerasCNNClassifier,KerasCNNClassifierWithEmbedding,KerasLSTMClassifier,KerasBiLSTMClassifier,KerasGRUClassifier,KerasCNNandLSTMClassifier,KerasHANClassifier,TorchClassifier,ReptileClassifier,SiameseClassifier,TripletNetwork,PrototypicalNetwork,KerasMAMLClassifier1,KerasMAMLClassifier2
jedit-3.2,jedit-4.2,0.34,0.42,0.4,0.5,0.31,0.32,0.35,0.25,0.24,0.23,0.32,,,0.17,0.39,,,0.0,0.0
jedit-3.2,jedit-4.3,0.09,0.06,0.07,0.1,0.04,0.08,0.15,0.1,0.04,0.08,0.06,,,0.04,0.1,,,0.0,0.0
log4j-1.0,log4j-1.1,0.49,0.65,0.64,0.72,0.64,0.0,0.69,0.0,0.25,0.47,0.63,,,0.28,0.45,,,0.0,
log4j-1.0,log4j-1.2,0.31,0.39,0.32,0.35,0.55,0.0,0.34,0.0,0.12,0.36,0.44,,,0.81,0.06,,,0.0,
lucene-2.0,lucene-2.2,0.6,0.67,0.48,0.72,0.62,0.64,0.64,0.69,0.76,0.6,0.69,,,0.64,0.68,,,0.0,
lucene-2.0,lucene-2.4,0.63,0.62,0.48,0.75,0.65,0.64,0.69,0.73,0.76,0.63,0.71,,,0.71,0.72,,,0.0,
poi-1.5,poi-2.0,0.2,0.21,0.21,0.34,0.2,0.21,0.14,0.15,0.22,0.21,0.17,,,0.1,0.22,,,0.21,
poi-1.5,poi-3.0,0.76,0.77,0.78,0.49,0.67,0.78,0.67,0.63,0.79,0.67,0.69,,,0.36,0.8,,,0.78,
synapse-1.0,synapse-1.1,0.25,0.28,0.03,0.12,0.42,0.0,0.06,0.0,0.0,0.0,0.0,,,0.26,0.0,,,0.0,
synapse-1.0,synapse-1.2,0.37,0.29,0.02,0.19,0.44,0.0,0.02,0.0,0.0,0.0,0.0,,,0.21,0.0,,,0.0,
velocity-1.4,velocity-1.5,0.71,0.79,0.8,0.79,0.7,0.8,0.8,0.8,0.8,0.8,0.8,,,0.81,0.8,,,0.0,
velocity-1.4,velocity-1.6,0.51,0.51,0.51,0.5,0.39,0.51,0.51,0.51,0.51,0.51,0.51,,,0.54,0.51,,,0.0,
xalan-2.4,xalan-2.5,0.27,0.31,0.01,0.16,0.57,0.0,0.33,0.0,0.0,0.0,0.0,,,0.17,0.12,,,0.0,
xalan-2.4,xalan-2.6,0.4,0.4,0.0,0.34,0.62,0.0,0.35,0.0,0.0,0.0,0.0,,,0.48,0.11,,,0.0,
xalan-2.4,xalan-2.7,0.34,0.39,0.0,0.21,0.66,0.0,0.29,0.0,0.0,0.0,0.0,,,0.42,0.08,,,0.0,
xerces-1.1,xerces-1.2,0.26,0.37,0.27,0.31,0.28,0.26,0.26,0.22,0.26,0.26,0.21,,,0.24,0.26,,,0.26,
xerces-1.1,xerces-1.3,0.21,0.25,0.16,0.32,0.15,0.26,0.07,0.13,0.26,0.26,0.05,,,0.12,0.23,,,0.26,
xerces-1.1,xerces-1.4.4,0.74,0.31,0.44,0.14,0.36,0.79,0.21,0.67,0.76,0.79,0.26,,,0.6,0.77,,,0.79,
activemq-5.0.0,activemq-5.1.0,,,,,,,,,,0.12,,,,0.27,,,,,
activemq-5.0.0,activemq-5.2.0,,,,,,,,,,0.09,,,,0.1,,,,,
activemq-5.0.0,activemq-5.3.0,,,,,,,,,,0.13,,,,0.25,,,,,
activemq-5.0.0,activemq-5.8.0,,,,,,,,,,0.15,,,,0.11,,,,,
camel-1.4.0,camel-2.9.0,,,,,,,,,,,,,,0.1,,,,,
camel-1.4.0,camel-2.10.0,,,,,,,,,,,,,,0.1,,,,,
camel-1.4.0,camel-2.11.0,,,,,,,,,,,,,,0.06,,,,,
new-activemq-5.0.0,new-activemq-5.1.0,,,,,,,,,,,,,,0.02,,,,,
new-activemq-5.0.0,new-activemq-5.2.0,,,,,,,,,,,,,,0.07,,,,,
new-activemq-5.0.0,new-activemq-5.3.0,,,,,,,,,,,,,,0.03,,,,,
activemq-4.0.0,activemq-5.0.0,,,,,,,,,,,,,,0.15,,,,,
activemq-4.0.0,activemq-5.1.0,,,,,,,,,,,,,,0.12,,,,,
activemq-4.0.0,activemq-5.2.0,,,,,,,,,,,,,,0.08,,,,,
activemq-4.0.0,activemq-5.3.0,,,,,,,,,,,,,,0.11,,,,,
activemq-4.0.0,activemq-5.8.0,,,,,,,,,,,,,,0.1,,,,,
